koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
CONFIRMED,9.48803557,0.146,2.9575,6.16E+02,2.26,0.0853,793,93.59,35.8,5455,4.467,0.927,15.347
CONFIRMED,54.4183827,0.586,4.507,8.75E+02,2.83,0.2734,443,9.11,25.8,5455,4.467,0.927,15.347
CANDIDATE,19.89913995,0.969,1.7822,1.08E+04,14.6,0.1419,638,39.3,76.3,5853,4.544,0.868,15.436
FALSE POSITIVE,1.736952453,1.276,2.40641,8.08E+03,33.46,0.0267,1395,891.96,505.6,5805,4.564,0.791,15.597
CONFIRMED,2.525591777,0.701,1.6545,6.03E+02,2.75,0.0374,1406,926.16,40.9,6031,4.438,1.046,15.509
CONFIRMED,11.09432054,0.538,4.5945,1.52E+03,3.9,0.0992,835,114.81,66.5,6046,4.486,0.972,15.714
CONFIRMED,4.13443512,0.762,3.1402,6.86E+02,2.77,0.0514,1160,427.65,40.2,6046,4.486,0.972,15.714
CONFIRMED,2.56658897,0.755,2.429,2.27E+02,1.59,0.0374,1360,807.74,15,6046,4.486,0.972,15.714
FALSE POSITIVE,7.36178958,1.169,5.022,2.34E+02,39.21,0.082,1342,767.22,47.7,6227,3.986,1.958,12.66
CONFIRMED,16.06864674,0.052,3.5347,4.91E+03,5.76,0.1158,600,30.75,161.9,5031,4.485,0.848,15.841
CONFIRMED,2.470613377,0.818,1.74319,1.42E+04,13.04,0.0354,1339,761.46,4304.3,5820,4.457,0.964,11.338
CONFIRMED,2.204735417,0.224,3.88864,6.67E+03,16.1,0.0376,2048,4148.92,5945.9,6440,4.019,1.952,10.463
CONFIRMED,3.522498429,0.631,3.19843,9.15E+03,14.59,0.0473,1521,1264.67,1741.5,6225,4.169,1.451,13.563
CONFIRMED,3.709214104,0.051,2.6302,1.31E+02,1.16,0.0465,1206,500.46,50.6,5833,4.407,1.022,12.772
FALSE POSITIVE,11.52144606,2.483,3.6399,1.80E+04,150.51,0.0978,753,75.88,622.1,5795,4.554,0.848,15.472
FALSE POSITIVE,19.40393776,0.804,12.2155,8.92E+03,7.18,0.123,523,17.69,214.7,5043,4.591,0.68,15.487
FALSE POSITIVE,19.22138894,1.065,4.79843,7.43E+04,49.29,0.1417,698,55.97,2317,6117,4.496,0.947,15.341
FALSE POSITIVE,16.46983774,0.292,9.4378,1.05E+04,7.94,0.1147,595,29.61,303.4,5152,4.517,0.786,15.788
